year,normalised_logC,metal
2009,0.7141787964961764,lead
2010,0.8680643293769192,lead
2011,0.8437882513459141,lead
2012,1.0347197607004877,lead
2013,0.7934784960520516,lead
2014,0.8427926330019767,lead
2015,0.9566022849014326,lead
2016,1.1467000012520916,lead
2017,1.1209468833517835,lead
2018,1.102397674554122,lead
2019,1.1497111905936803,lead
2020,1.1709854801768342,lead
2021,1.3397339132556307,lead
2022,1.126691396236752,lead
2023,1.2453852137577086,lead
2009,2.8303009098909047,iron
2010,2.8249495862791747,iron
2011,2.848857354213465,iron
2012,2.793558768438784,iron
2013,2.8695250974660262,iron
2014,2.797404766955348,iron
2015,2.8128269318520185,iron
2016,2.8564448403273954,iron
2017,2.921956021097649,iron
2018,2.7742023017369775,iron
2019,2.8217328438112563,iron
2020,3.21151978267546,iron
2021,3.0232475949948676,iron
2022,2.9809348779390197,iron
2023,2.9221294427544926,iron
2009,-1.0015948926437601,cadmium
2010,-0.8279985355291537,cadmium
2011,-0.9461672803155456,cadmium
2012,-0.702275340657038,cadmium
2013,-0.7559163234478328,cadmium
2014,-0.6810682709464251,cadmium
2015,-0.6405638105409378,cadmium
2016,-0.49722170565182394,cadmium
2017,-0.480895404131569,cadmium
2018,-0.40907952982585916,cadmium
2019,-0.44835522333400224,cadmium
2020,-0.38105694284731934,cadmium
2021,-0.2985209632117421,cadmium
2022,-0.4616374853665586,cadmium
2023,-0.41685735569468474,cadmium
2009,0.5313049465307963,nickel
2010,0.5871186091816457,nickel
2011,0.4986601854506149,nickel
2012,0.48921790788532377,nickel
2013,0.5807807875394845,nickel
2014,0.6491224425373221,nickel
2015,0.6416437998247191,nickel
2016,0.5846200786710616,nickel
2017,0.5356688945358904,nickel
2018,0.543819469204457,nickel
2019,0.5232479776378277,nickel
2020,0.5179487430496523,nickel
2021,0.675389799516896,nickel
2022,0.5143642231545229,nickel
2023,0.6053922049073499,nickel
2009,1.9293754925790851,aluminium
2010,1.9904045890337796,aluminium
2011,2.0125346267672364,aluminium
2012,2.0914568721538176,aluminium
2013,2.0800779983180604,aluminium
2014,2.079513806064183,aluminium
2015,2.0207534806884224,aluminium
2016,2.082472240238429,aluminium
2017,2.1116138939019744,aluminium
2018,2.050941227989974,aluminium
2019,1.8864784230441451,aluminium
2020,1.4352146463383022,aluminium
2021,1.4114696595375162,aluminium
2022,1.586235029600254,aluminium
2023,1.9329434545436914,aluminium
2009,0.4553648923351546,copper
2010,0.45172357822716147,copper
2011,0.307463013103931,copper
2012,0.273237755692903,copper
2013,0.41598416662474746,copper
2014,0.3899764877764015,copper
2015,0.40939392302017463,copper
2016,0.3198520043584126,copper
2017,0.24475773063641418,copper
2018,0.21975142302792017,copper
2019,0.2336598233616378,copper
2020,0.20481464526778703,copper
2021,0.30360472833234714,copper
2022,0.19860453250994256,copper
2023,0.2272718739612621,copper
2009,0.14464800448739015,arsenic
2010,0.18213936966437205,arsenic
2011,0.2114147323329515,arsenic
2012,0.264810406949433,arsenic
2013,0.3622539632494072,arsenic
2014,0.43904743529467555,arsenic
2015,0.5365415796377143,arsenic
2016,1.037939136662648,arsenic
2017,1.06228779853572,arsenic
2018,0.9211994887492744,arsenic
2019,0.7785194468219385,arsenic
2020,0.569098064753491,arsenic
2021,1.3915086729737098,arsenic
2022,1.6316002244127739,arsenic
2023,1.6894997319189273,arsenic
2009,1.1526037145257926,zinc
2010,1.3410296432408824,zinc
2011,1.2163226490719639,zinc
2012,1.442119964208868,zinc
2013,1.331981281131059,zinc
2014,1.600615126883546,zinc
2015,1.6436047063686443,zinc
2016,1.7977898654479658,zinc
2017,1.7872374063810577,zinc
2018,1.8625499469112037,zinc
2019,1.91805730336516,zinc
2020,2.0832694787411667,zinc
2021,2.0754837014068706,zinc
2022,1.8606842167064657,zinc
2023,1.9884536606409653,zinc
